order,type,orderNumber
Roasted Root Veg,Side,18930
Filet Mignon,Meat,18930
Blackstone Merlot,Wine,18930
Roasted Root Veg,Side,18945
Pork Tenderloin,Meat,18945
Cantina Pinot Bianco,Wine,18945
Roasted Root Veg,Side,18947
Pork Tenderloin,Meat,18947
Cantina Pinot Bianco,Wine,18947
Roasted Root Veg,Side,18950
Pork Tenderloin,Meat,18950
Cantina Pinot Bianco,Wine,18950
Roasted Root Veg,Side,18976
Duck,Meat,18976
Duckhorn Chardonnay,Wine,18976
Roasted Root Veg,Side,18984
Roast Chicken,Meat,18984
Duckhorn Chardonnay,Wine,18984
Roasted Root Veg,Side,18995
Pork Tenderloin,Meat,18995
Cantina Pinot Bianco,Wine,18995
Roasted Root Veg,Side,19002
Pork Tenderloin,Meat,19002
Cantina Pinot Bianco,Wine,19002
Roasted Root Veg,Side,19011
Pork Tenderloin,Meat,19011
Cantina Pinot Bianco,Wine,19011
Roasted Root Veg,Side,19017
Pork Tenderloin,Meat,19017
Cantina Pinot Bianco,Wine,19017
Roasted Root Veg,Side,19026
Pork Tenderloin,Meat,19026
Cantina Pinot Bianco,Wine,19026
Roasted Root Veg,Side,19036
Pork Tenderloin,Meat,19036
Cantina Pinot Bianco,Wine,19036
Roasted Root Veg,Side,19066
Pork Tenderloin,Meat,19066
Cantina Pinot Bianco,Wine,19066
Roasted Root Veg,Side,19074
Pork Tenderloin,Meat,19074
Cantina Pinot Bianco,Wine,19074
Baked Beans,Side,19125
Roast Chicken,Meat,19125
Duckhorn Chardonnay,Wine,19125
Baked Beans,Side,19138
Roast Chicken,Meat,19138
Duckhorn Chardonnay,Wine,19138
Baked Beans,Side,19161
Filet Mignon,Meat,19161
Duckhorn Chardonnay,Wine,19161
Baked Beans,Side,19163
Duck,Meat,19163
Duckhorn Chardonnay,Wine,19163
Baked Beans,Side,19179
Pork Tenderloin,Meat,19179
Cantina Pinot Bianco,Wine,19179
Baked Beans,Side,19189
Pork Tenderloin,Meat,19189
Cantina Pinot Bianco,Wine,19189
Risotto,Side,19207
Roast Chicken,Meat,19207
Blackstone Merlot,Wine,19207
Risotto,Side,19236
Duck,Meat,19236
Duckhorn Chardonnay,Wine,19236
Risotto,Side,19247
Pork Tenderloin,Meat,19247
Cantina Pinot Bianco,Wine,19247
Risotto,Side,19269
Pork Tenderloin,Meat,19269
Cantina Pinot Bianco,Wine,19269
Risotto,Side,19280
Duck,Meat,19280
Meiomi Pinot Noir,Wine,19280
Risotto,Side,19287
Roast Chicken,Meat,19287
Duckhorn Chardonnay,Wine,19287
Risotto,Side,19291
Pork Tenderloin,Meat,19291
Cantina Pinot Bianco,Wine,19291
Risotto,Side,19292
Roast Chicken,Meat,19292
Duckhorn Chardonnay,Wine,19292
Risotto,Side,19296
Roast Chicken,Meat,19296
Cantina Pinot Bianco,Wine,19296
Risotto,Side,19296
Roast Chicken,Meat,19296
Blackstone Merlot,Wine,19296
Risotto,Side,19302
Duck,Meat,19302
Duckhorn Chardonnay,Wine,19302
Steamed Seasonal Veg,Side,19317
Pork Tenderloin,Meat,19317
Cantina Pinot Bianco,Wine,19317
Steamed Seasonal Veg,Side,19319
Roast Chicken,Meat,19319
Duckhorn Chardonnay,Wine,19319
Steamed Seasonal Veg,Side,19321
Pork Tenderloin,Meat,19321
Cantina Pinot Bianco,Wine,19321
Steamed Seasonal Veg,Side,19346
Roast Chicken,Meat,19346
Duckhorn Chardonnay,Wine,19346
Steamed Seasonal Veg,Side,19359
Pork Tenderloin,Meat,19359
Cantina Pinot Bianco,Wine,19359
Steamed Seasonal Veg,Side,19372
Roast Chicken,Meat,19372
Duckhorn Chardonnay,Wine,19372
Steamed Seasonal Veg,Side,19378
Duck,Meat,19378
Duckhorn Chardonnay,Wine,19378
Steamed Seasonal Veg,Side,19379
Roast Chicken,Meat,19379
Duckhorn Chardonnay,Wine,19379
Steamed Seasonal Veg,Side,19386
Filet Mignon,Meat,19386
Blackstone Merlot,Wine,19386
Steamed Seasonal Veg,Side,19462
Pork Tenderloin,Meat,19462
Cantina Pinot Bianco,Wine,19462
Steamed Seasonal Veg,Side,19464
Filet Mignon,Meat,19464
Blackstone Merlot,Wine,19464
Steamed Seasonal Veg,Side,19466
Duck,Meat,19466
Cantina Pinot Bianco,Wine,19466
Steamed Seasonal Veg,Side,19468
Roast Chicken,Meat,19468
Duckhorn Chardonnay,Wine,19468
Steamed Seasonal Veg,Side,19476
Pork Tenderloin,Meat,19476
Blackstone Merlot,Wine,19476
Steamed Seasonal Veg,Side,19480
Roast Chicken,Meat,19480
Duckhorn Chardonnay,Wine,19480
Steamed Seasonal Veg,Side,19480
Pork Tenderloin,Meat,19480
Cantina Pinot Bianco,Wine,19480
Steamed Seasonal Veg,Side,19495
Pork Tenderloin,Meat,19495
Cantina Pinot Bianco,Wine,19495
Steamed Seasonal Veg,Side,19505
Pork Tenderloin,Meat,19505
Cantina Pinot Bianco,Wine,19505
Mashed Potatoes,Side,19520
Roast Chicken,Meat,19520
Duckhorn Chardonnay,Wine,19520
Mashed Potatoes,Side,19521
Pork Tenderloin,Meat,19521
Cantina Pinot Bianco,Wine,19521
Mashed Potatoes,Side,19535
Filet Mignon,Meat,19535
Blackstone Merlot,Wine,19535
Mashed Potatoes,Side,19536
Pork Tenderloin,Meat,19536
Cantina Pinot Bianco,Wine,19536
Mashed Potatoes,Side,19537
Roast Chicken,Meat,19537
Cantina Pinot Bianco,Wine,19537
Mashed Potatoes,Side,19540
Pork Tenderloin,Meat,19540
Cantina Pinot Bianco,Wine,19540
Mashed Potatoes,Side,19542
Duck,Meat,19542
Cantina Pinot Bianco,Wine,19542
Mashed Potatoes,Side,19553
Pork Tenderloin,Meat,19553
Cantina Pinot Bianco,Wine,19553
Mashed Potatoes,Side,19584
Pork Tenderloin,Meat,19584
Duckhorn Chardonnay,Wine,19584
Mashed Potatoes,Side,19600
Pork Tenderloin,Meat,19600
Cantina Pinot Bianco,Wine,19600
Mashed Potatoes,Side,19603
Filet Mignon,Meat,19603
Blackstone Merlot,Wine,19603
Caesar Salad,Side,19649
Pork Tenderloin,Meat,19649
Cantina Pinot Bianco,Wine,19649
Caesar Salad,Side,19658
Pork Tenderloin,Meat,19658
Cantina Pinot Bianco,Wine,19658
Caesar Salad,Side,19661
Roast Chicken,Meat,19661
Duckhorn Chardonnay,Wine,19661
Caesar Salad,Side,19669
Pork Tenderloin,Meat,19669
Cantina Pinot Bianco,Wine,19669
Roasted Root Veg,Side,19730
Duck,Meat,19730
Duckhorn Chardonnay,Wine,19730
Roasted Root Veg,Side,19733
Filet Mignon,Meat,19733
Blackstone Merlot,Wine,19733
Roasted Root Veg,Side,19750
Duck,Meat,19750
Duckhorn Chardonnay,Wine,19750
Roasted Root Veg,Side,19758
Pork Tenderloin,Meat,19758
Cantina Pinot Bianco,Wine,19758
Roasted Root Veg,Side,19759
Filet Mignon,Meat,19759
Blackstone Merlot,Wine,19759
Roasted Root Veg,Side,19759
Pork Tenderloin,Meat,19759
Cantina Pinot Bianco,Wine,19759
Roasted Root Veg,Side,19763
Pork Tenderloin,Meat,19763
Cantina Pinot Bianco,Wine,19763
Roasted Root Veg,Side,19766
Duck,Meat,19766
Duckhorn Chardonnay,Wine,19766
Roasted Root Veg,Side,19767
Pork Tenderloin,Meat,19767
Cantina Pinot Bianco,Wine,19767
Roasted Root Veg,Side,19772
Pork Tenderloin,Meat,19772
Cantina Pinot Bianco,Wine,19772
Roasted Root Veg,Side,19773
Pork Tenderloin,Meat,19773
Cantina Pinot Bianco,Wine,19773
Roasted Root Veg,Side,19807
Pork Tenderloin,Meat,19807
Cantina Pinot Bianco,Wine,19807
Roasted Root Veg,Side,19808
Pork Tenderloin,Meat,19808
Cantina Pinot Bianco,Wine,19808
Roasted Root Veg,Side,19809
Roast Chicken,Meat,19809
Duckhorn Chardonnay,Wine,19809
Roasted Root Veg,Side,19822
Pork Tenderloin,Meat,19822
Cantina Pinot Bianco,Wine,19822
Roasted Root Veg,Side,19826
Roast Chicken,Meat,19826
Duckhorn Chardonnay,Wine,19826
Roasted Root Veg,Side,19845
Pork Tenderloin,Meat,19845
Cantina Pinot Bianco,Wine,19845
Roasted Root Veg,Side,19845
Roast Chicken,Meat,19845
Meiomi Pinot Noir,Wine,19845
Roasted Root Veg,Side,19853
Pork Tenderloin,Meat,19853
Blackstone Merlot,Wine,19853
Roasted Root Veg,Side,19855
Pork Tenderloin,Meat,19855
Cantina Pinot Bianco,Wine,19855
Roasted Root Veg,Side,19864
Pork Tenderloin,Meat,19864
Cantina Pinot Bianco,Wine,19864
Roasted Root Veg,Side,19867
Roast Chicken,Meat,19867
Duckhorn Chardonnay,Wine,19867
Roasted Root Veg,Side,19868
Pork Tenderloin,Meat,19868
Cantina Pinot Bianco,Wine,19868
Roasted Root Veg,Side,19874
Pork Tenderloin,Meat,19874
Cantina Pinot Bianco,Wine,19874
Roasted Root Veg,Side,19883
Pork Tenderloin,Meat,19883
Cantina Pinot Bianco,Wine,19883
Roasted Root Veg,Side,19890
Pork Tenderloin,Meat,19890
Cantina Pinot Bianco,Wine,19890
Roasted Root Veg,Side,19892
Pork Tenderloin,Meat,19892
Cantina Pinot Bianco,Wine,19892
Roasted Root Veg,Side,19911
Filet Mignon,Meat,19911
Blackstone Merlot,Wine,19911
Baked Beans,Side,19919
Roast Chicken,Meat,19919
Blackstone Merlot,Wine,19919
Baked Beans,Side,19920
Pork Tenderloin,Meat,19920
Cantina Pinot Bianco,Wine,19920
Baked Beans,Side,19925
Duck,Meat,19925
Duckhorn Chardonnay,Wine,19925
Baked Beans,Side,19931
Duck,Meat,19931
Duckhorn Chardonnay,Wine,19931
Baked Beans,Side,19951
Filet Mignon,Meat,19951
Blackstone Merlot,Wine,19951
Baked Beans,Side,19955
Roast Chicken,Meat,19955
Duckhorn Chardonnay,Wine,19955
Baked Beans,Side,19955
Pork Tenderloin,Meat,19955
Cantina Pinot Bianco,Wine,19955
Baked Beans,Side,19958
Pork Tenderloin,Meat,19958
Cantina Pinot Bianco,Wine,19958
Baked Beans,Side,19993
Pork Tenderloin,Meat,19993
Cantina Pinot Bianco,Wine,19993
Baked Beans,Side,20002
Pork Tenderloin,Meat,20002
Cantina Pinot Bianco,Wine,20002
Baked Beans,Side,20003
Duck,Meat,20003
Duckhorn Chardonnay,Wine,20003
Baked Beans,Side,20011
Pork Tenderloin,Meat,20011
Cantina Pinot Bianco,Wine,20011
Risotto,Side,20041
Pork Tenderloin,Meat,20041
Cantina Pinot Bianco,Wine,20041
Risotto,Side,20052
Duck,Meat,20052
Duckhorn Chardonnay,Wine,20052
Risotto,Side,20069
Roast Chicken,Meat,20069
Duckhorn Chardonnay,Wine,20069
Risotto,Side,20071
Duck,Meat,20071
Meiomi Pinot Noir,Wine,20071
Risotto,Side,20074
Roast Chicken,Meat,20074
Meiomi Pinot Noir,Wine,20074
Risotto,Side,20078
Pork Tenderloin,Meat,20078
Cantina Pinot Bianco,Wine,20078
Risotto,Side,20085
Pork Tenderloin,Meat,20085
Duckhorn Chardonnay,Wine,20085
Risotto,Side,20104
Roast Chicken,Meat,20104
Cantina Pinot Bianco,Wine,20104
Risotto,Side,20113
Duck,Meat,20113
Duckhorn Chardonnay,Wine,20113
Steamed Seasonal Veg,Side,20145
Pork Tenderloin,Meat,20145
Cantina Pinot Bianco,Wine,20145
Steamed Seasonal Veg,Side,20169
Duck,Meat,20169
Blackstone Merlot,Wine,20169
Steamed Seasonal Veg,Side,20188
Pork Tenderloin,Meat,20188
Blackstone Merlot,Wine,20188
Steamed Seasonal Veg,Side,20200
Pork Tenderloin,Meat,20200
Cantina Pinot Bianco,Wine,20200
Steamed Seasonal Veg,Side,20214
Filet Mignon,Meat,20214
Blackstone Merlot,Wine,20214
Steamed Seasonal Veg,Side,20219
Duck,Meat,20219
Duckhorn Chardonnay,Wine,20219
Steamed Seasonal Veg,Side,20223
Pork Tenderloin,Meat,20223
Cantina Pinot Bianco,Wine,20223
Steamed Seasonal Veg,Side,20227
Roast Chicken,Meat,20227
Duckhorn Chardonnay,Wine,20227
Steamed Seasonal Veg,Side,20240
Duck,Meat,20240
Meiomi Pinot Noir,Wine,20240
Steamed Seasonal Veg,Side,20298
Pork Tenderloin,Meat,20298
Cantina Pinot Bianco,Wine,20298
Steamed Seasonal Veg,Side,20304
Pork Tenderloin,Meat,20304
Cantina Pinot Bianco,Wine,20304
Steamed Seasonal Veg,Side,20304
Pork Tenderloin,Meat,20304
Cantina Pinot Bianco,Wine,20304
Mashed Potatoes,Side,20329
Roast Chicken,Meat,20329
Duckhorn Chardonnay,Wine,20329
Mashed Potatoes,Side,20346
Roast Chicken,Meat,20346
Duckhorn Chardonnay,Wine,20346
Mashed Potatoes,Side,20352
Duck,Meat,20352
Duckhorn Chardonnay,Wine,20352
Mashed Potatoes,Side,20353
Duck,Meat,20353
Cantina Pinot Bianco,Wine,20353
Mashed Potatoes,Side,20362
Pork Tenderloin,Meat,20362
Cantina Pinot Bianco,Wine,20362
Mashed Potatoes,Side,20390
Pork Tenderloin,Meat,20390
Cantina Pinot Bianco,Wine,20390
Mashed Potatoes,Side,20404
Pork Tenderloin,Meat,20404
Cantina Pinot Bianco,Wine,20404
Mashed Potatoes,Side,20414
Pork Tenderloin,Meat,20414
Cantina Pinot Bianco,Wine,20414
Mashed Potatoes,Side,20424
Filet Mignon,Meat,20424
Blackstone Merlot,Wine,20424
Caesar Salad,Side,20454
Roast Chicken,Meat,20454
Duckhorn Chardonnay,Wine,20454
Caesar Salad,Side,20470
Filet Mignon,Meat,20470
Blackstone Merlot,Wine,20470
Caesar Salad,Side,20472
Roast Chicken,Meat,20472
Blackstone Merlot,Wine,20472
Caesar Salad,Side,20486
Roast Chicken,Meat,20486
Duckhorn Chardonnay,Wine,20486
Roasted Root Veg,Side,20550
Pork Tenderloin,Meat,20550
Cantina Pinot Bianco,Wine,20550
Roasted Root Veg,Side,20569
Duck,Meat,20569
Meiomi Pinot Noir,Wine,20569
Roasted Root Veg,Side,20571
Pork Tenderloin,Meat,20571
Cantina Pinot Bianco,Wine,20571
Roasted Root Veg,Side,20596
Pork Tenderloin,Meat,20596
Cantina Pinot Bianco,Wine,20596
Roasted Root Veg,Side,20598
Duck,Meat,20598
Duckhorn Chardonnay,Wine,20598
Roasted Root Veg,Side,20599
Duck,Meat,20599
Duckhorn Chardonnay,Wine,20599
Roasted Root Veg,Side,20606
Filet Mignon,Meat,20606
Blackstone Merlot,Wine,20606
Roasted Root Veg,Side,20652
Duck,Meat,20652
Duckhorn Chardonnay,Wine,20652
Roasted Root Veg,Side,20652
Pork Tenderloin,Meat,20652
Cantina Pinot Bianco,Wine,20652
Roasted Root Veg,Side,20657
Duck,Meat,20657
Duckhorn Chardonnay,Wine,20657
Roasted Root Veg,Side,20666
Pork Tenderloin,Meat,20666
Cantina Pinot Bianco,Wine,20666
Roasted Root Veg,Side,20691
Filet Mignon,Meat,20691
Cantina Pinot Bianco,Wine,20691
Roasted Root Veg,Side,20696
Filet Mignon,Meat,20696
Blackstone Merlot,Wine,20696
Roasted Root Veg,Side,20705
Pork Tenderloin,Meat,20705
Cantina Pinot Bianco,Wine,20705
Baked Beans,Side,20765
Pork Tenderloin,Meat,20765
Cantina Pinot Bianco,Wine,20765
Baked Beans,Side,20767
Duck,Meat,20767
Duckhorn Chardonnay,Wine,20767
Baked Beans,Side,20769
Pork Tenderloin,Meat,20769
Cantina Pinot Bianco,Wine,20769
Baked Beans,Side,20772
Duck,Meat,20772
Meiomi Pinot Noir,Wine,20772
Baked Beans,Side,20811
Pork Tenderloin,Meat,20811
Cantina Pinot Bianco,Wine,20811
Baked Beans,Side,20819
Roast Chicken,Meat,20819
Duckhorn Chardonnay,Wine,20819
Baked Beans,Side,20824
Pork Tenderloin,Meat,20824
Duckhorn Chardonnay,Wine,20824
Risotto,Side,20839
Duck,Meat,20839
Duckhorn Chardonnay,Wine,20839
Risotto,Side,20840
Roast Chicken,Meat,20840
Duckhorn Chardonnay,Wine,20840
Risotto,Side,20840
Pork Tenderloin,Meat,20840
Cantina Pinot Bianco,Wine,20840
Risotto,Side,20850
Duck,Meat,20850
Duckhorn Chardonnay,Wine,20850
Risotto,Side,20859
Filet Mignon,Meat,20859
Blackstone Merlot,Wine,20859
Risotto,Side,20860
Pork Tenderloin,Meat,20860
Cantina Pinot Bianco,Wine,20860
Risotto,Side,20864
Pork Tenderloin,Meat,20864
Cantina Pinot Bianco,Wine,20864
Risotto,Side,20866
Pork Tenderloin,Meat,20866
Meiomi Pinot Noir,Wine,20866
Risotto,Side,20890
Pork Tenderloin,Meat,20890
Duckhorn Chardonnay,Wine,20890
Risotto,Side,20902
Roast Chicken,Meat,20902
Duckhorn Chardonnay,Wine,20902
Risotto,Side,20921
Pork Tenderloin,Meat,20921
Cantina Pinot Bianco,Wine,20921
Steamed Seasonal Veg,Side,20935
Roast Chicken,Meat,20935
Duckhorn Chardonnay,Wine,20935
Steamed Seasonal Veg,Side,20946
Filet Mignon,Meat,20946
Blackstone Merlot,Wine,20946
Steamed Seasonal Veg,Side,20973
Pork Tenderloin,Meat,20973
Cantina Pinot Bianco,Wine,20973
Steamed Seasonal Veg,Side,20975
Filet Mignon,Meat,20975
Blackstone Merlot,Wine,20975
Steamed Seasonal Veg,Side,20977
Filet Mignon,Meat,20977
Blackstone Merlot,Wine,20977
Steamed Seasonal Veg,Side,20978
Pork Tenderloin,Meat,20978
Cantina Pinot Bianco,Wine,20978
Steamed Seasonal Veg,Side,20995
Duck,Meat,20995
Duckhorn Chardonnay,Wine,20995
Steamed Seasonal Veg,Side,21013
Pork Tenderloin,Meat,21013
Cantina Pinot Bianco,Wine,21013
Steamed Seasonal Veg,Side,21014
Filet Mignon,Meat,21014
Blackstone Merlot,Wine,21014
Steamed Seasonal Veg,Side,21014
Duck,Meat,21014
Blackstone Merlot,Wine,21014
Steamed Seasonal Veg,Side,21015
Roast Chicken,Meat,21015
Duckhorn Chardonnay,Wine,21015
Steamed Seasonal Veg,Side,21019
Duck,Meat,21019
Duckhorn Chardonnay,Wine,21019
Steamed Seasonal Veg,Side,21052
Roast Chicken,Meat,21052
Duckhorn Chardonnay,Wine,21052
Steamed Seasonal Veg,Side,21069
Pork Tenderloin,Meat,21069
Cantina Pinot Bianco,Wine,21069
Steamed Seasonal Veg,Side,21075
Duck,Meat,21075
Duckhorn Chardonnay,Wine,21075
Steamed Seasonal Veg,Side,21126
Filet Mignon,Meat,21126
Blackstone Merlot,Wine,21126
Mashed Potatoes,Side,21139
Roast Chicken,Meat,21139
Duckhorn Chardonnay,Wine,21139
Mashed Potatoes,Side,21147
Pork Tenderloin,Meat,21147
Cantina Pinot Bianco,Wine,21147
Mashed Potatoes,Side,21156
Pork Tenderloin,Meat,21156
Cantina Pinot Bianco,Wine,21156
Mashed Potatoes,Side,21168
Pork Tenderloin,Meat,21168
Cantina Pinot Bianco,Wine,21168
Mashed Potatoes,Side,21171
Pork Tenderloin,Meat,21171
Cantina Pinot Bianco,Wine,21171
Mashed Potatoes,Side,21196
Pork Tenderloin,Meat,21196
Cantina Pinot Bianco,Wine,21196
Mashed Potatoes,Side,21196
Pork Tenderloin,Meat,21196
Cantina Pinot Bianco,Wine,21196
Mashed Potatoes,Side,21202
Pork Tenderloin,Meat,21202
Cantina Pinot Bianco,Wine,21202
Mashed Potatoes,Side,21227
Roast Chicken,Meat,21227
Duckhorn Chardonnay,Wine,21227
Mashed Potatoes,Side,21236
Pork Tenderloin,Meat,21236
Cantina Pinot Bianco,Wine,21236
Mashed Potatoes,Side,21239
Pork Tenderloin,Meat,21239
Cantina Pinot Bianco,Wine,21239
Caesar Salad,Side,21244
Duck,Meat,21244
Duckhorn Chardonnay,Wine,21244
Caesar Salad,Side,21245
Pork Tenderloin,Meat,21245
Cantina Pinot Bianco,Wine,21245
Caesar Salad,Side,21260
Filet Mignon,Meat,21260
Blackstone Merlot,Wine,21260
Caesar Salad,Side,21261
Pork Tenderloin,Meat,21261
Cantina Pinot Bianco,Wine,21261
Caesar Salad,Side,21263
Pork Tenderloin,Meat,21263
Cantina Pinot Bianco,Wine,21263
Caesar Salad,Side,21269
Pork Tenderloin,Meat,21269
Cantina Pinot Bianco,Wine,21269
Caesar Salad,Side,21271
Duck,Meat,21271
Cantina Pinot Bianco,Wine,21271
Caesar Salad,Side,21275
Duck,Meat,21275
Duckhorn Chardonnay,Wine,21275
Caesar Salad,Side,21285
Pork Tenderloin,Meat,21285
Cantina Pinot Bianco,Wine,21285
Caesar Salad,Side,21288
Pork Tenderloin,Meat,21288
Cantina Pinot Bianco,Wine,21288
Caesar Salad,Side,21323
Pork Tenderloin,Meat,21323
Cantina Pinot Bianco,Wine,21323
Caesar Salad,Side,21328
Pork Tenderloin,Meat,21328
Cantina Pinot Bianco,Wine,21328
Caesar Salad,Side,21333
Filet Mignon,Meat,21333
Blackstone Merlot,Wine,21333
Roasted Root Veg,Side,21396
Roast Chicken,Meat,21396
Duckhorn Chardonnay,Wine,21396
Roasted Root Veg,Side,21401
Filet Mignon,Meat,21401
Blackstone Merlot,Wine,21401
Roasted Root Veg,Side,21403
Pork Tenderloin,Meat,21403
Cantina Pinot Bianco,Wine,21403
Roasted Root Veg,Side,21408
Pork Tenderloin,Meat,21408
Cantina Pinot Bianco,Wine,21408
Roasted Root Veg,Side,21416
Pork Tenderloin,Meat,21416
Cantina Pinot Bianco,Wine,21416
Roasted Root Veg,Side,21433
Duck,Meat,21433
Duckhorn Chardonnay,Wine,21433
Roasted Root Veg,Side,21434
Pork Tenderloin,Meat,21434
Cantina Pinot Bianco,Wine,21434
Roasted Root Veg,Side,21458
Pork Tenderloin,Meat,21458
Cantina Pinot Bianco,Wine,21458
Roasted Root Veg,Side,21468
Pork Tenderloin,Meat,21468
Cantina Pinot Bianco,Wine,21468
Roasted Root Veg,Side,21475
Filet Mignon,Meat,21475
Blackstone Merlot,Wine,21475
Roasted Root Veg,Side,21480
Duck,Meat,21480
Duckhorn Chardonnay,Wine,21480
Roasted Root Veg,Side,21494
Pork Tenderloin,Meat,21494
Cantina Pinot Bianco,Wine,21494
Roasted Root Veg,Side,21533
Pork Tenderloin,Meat,21533
Cantina Pinot Bianco,Wine,21533
Roasted Root Veg,Side,21536
Pork Tenderloin,Meat,21536
Cantina Pinot Bianco,Wine,21536
Baked Beans,Side,21558
Pork Tenderloin,Meat,21558
Cantina Pinot Bianco,Wine,21558
Baked Beans,Side,21581
Roast Chicken,Meat,21581
Duckhorn Chardonnay,Wine,21581
Baked Beans,Side,21594
Duck,Meat,21594
Cantina Pinot Bianco,Wine,21594
Baked Beans,Side,21599
Pork Tenderloin,Meat,21599
Cantina Pinot Bianco,Wine,21599
Baked Beans,Side,21632
Roast Chicken,Meat,21632
Duckhorn Chardonnay,Wine,21632
Baked Beans,Side,21638
Duck,Meat,21638
Duckhorn Chardonnay,Wine,21638
Risotto,Side,21656
Pork Tenderloin,Meat,21656
Cantina Pinot Bianco,Wine,21656
Risotto,Side,21657
Pork Tenderloin,Meat,21657
Cantina Pinot Bianco,Wine,21657
Risotto,Side,21664
Roast Chicken,Meat,21664
Duckhorn Chardonnay,Wine,21664
Risotto,Side,21670
Pork Tenderloin,Meat,21670
Cantina Pinot Bianco,Wine,21670
Risotto,Side,21697
Duck,Meat,21697
Meiomi Pinot Noir,Wine,21697
Risotto,Side,21704
Pork Tenderloin,Meat,21704
Cantina Pinot Bianco,Wine,21704
Risotto,Side,21706
Pork Tenderloin,Meat,21706
Cantina Pinot Bianco,Wine,21706
Risotto,Side,21706
Pork Tenderloin,Meat,21706
Cantina Pinot Bianco,Wine,21706
Risotto,Side,21714
Pork Tenderloin,Meat,21714
Cantina Pinot Bianco,Wine,21714
Risotto,Side,21714
Pork Tenderloin,Meat,21714
Cantina Pinot Bianco,Wine,21714
Risotto,Side,21731
Duck,Meat,21731
Duckhorn Chardonnay,Wine,21731
Risotto,Side,21732
Pork Tenderloin,Meat,21732
Cantina Pinot Bianco,Wine,21732
Risotto,Side,21741
Roast Chicken,Meat,21741
Cantina Pinot Bianco,Wine,21741
Risotto,Side,21744
Pork Tenderloin,Meat,21744
Cantina Pinot Bianco,Wine,21744
Steamed Seasonal Veg,Side,21753
Pork Tenderloin,Meat,21753
Cantina Pinot Bianco,Wine,21753
Steamed Seasonal Veg,Side,21753
Pork Tenderloin,Meat,21753
Cantina Pinot Bianco,Wine,21753
Steamed Seasonal Veg,Side,21757
Pork Tenderloin,Meat,21757
Cantina Pinot Bianco,Wine,21757
Steamed Seasonal Veg,Side,21778
Pork Tenderloin,Meat,21778
Cantina Pinot Bianco,Wine,21778
Steamed Seasonal Veg,Side,21785
Pork Tenderloin,Meat,21785
Cantina Pinot Bianco,Wine,21785
Steamed Seasonal Veg,Side,21799
Roast Chicken,Meat,21799
Duckhorn Chardonnay,Wine,21799
Steamed Seasonal Veg,Side,21830
Duck,Meat,21830
Meiomi Pinot Noir,Wine,21830
Steamed Seasonal Veg,Side,21836
Filet Mignon,Meat,21836
Blackstone Merlot,Wine,21836
Steamed Seasonal Veg,Side,21843
Roast Chicken,Meat,21843
Meiomi Pinot Noir,Wine,21843
Steamed Seasonal Veg,Side,21850
Duck,Meat,21850
Duckhorn Chardonnay,Wine,21850
Steamed Seasonal Veg,Side,21852
Pork Tenderloin,Meat,21852
Cantina Pinot Bianco,Wine,21852
Steamed Seasonal Veg,Side,21858
Pork Tenderloin,Meat,21858
Cantina Pinot Bianco,Wine,21858
Steamed Seasonal Veg,Side,21866
Pork Tenderloin,Meat,21866
Cantina Pinot Bianco,Wine,21866
Steamed Seasonal Veg,Side,21875
Pork Tenderloin,Meat,21875
Cantina Pinot Bianco,Wine,21875
Steamed Seasonal Veg,Side,21886
Pork Tenderloin,Meat,21886
Cantina Pinot Bianco,Wine,21886
Steamed Seasonal Veg,Side,21890
Duck,Meat,21890
Duckhorn Chardonnay,Wine,21890
Steamed Seasonal Veg,Side,21900
Pork Tenderloin,Meat,21900
Cantina Pinot Bianco,Wine,21900
Steamed Seasonal Veg,Side,21901
Roast Chicken,Meat,21901
Meiomi Pinot Noir,Wine,21901
Steamed Seasonal Veg,Side,21925
Pork Tenderloin,Meat,21925
Cantina Pinot Bianco,Wine,21925
Steamed Seasonal Veg,Side,21930
Pork Tenderloin,Meat,21930
Cantina Pinot Bianco,Wine,21930
Steamed Seasonal Veg,Side,21943
Pork Tenderloin,Meat,21943
Cantina Pinot Bianco,Wine,21943
Mashed Potatoes,Side,21951
Pork Tenderloin,Meat,21951
Cantina Pinot Bianco,Wine,21951
Mashed Potatoes,Side,21964
Duck,Meat,21964
Meiomi Pinot Noir,Wine,21964
Mashed Potatoes,Side,21966
Pork Tenderloin,Meat,21966
Cantina Pinot Bianco,Wine,21966
Mashed Potatoes,Side,21970
Pork Tenderloin,Meat,21970
Cantina Pinot Bianco,Wine,21970
Mashed Potatoes,Side,21975
Pork Tenderloin,Meat,21975
Cantina Pinot Bianco,Wine,21975
Mashed Potatoes,Side,21981
Duck,Meat,21981
Duckhorn Chardonnay,Wine,21981
Mashed Potatoes,Side,22014
Pork Tenderloin,Meat,22014
Cantina Pinot Bianco,Wine,22014
Mashed Potatoes,Side,22017
Duck,Meat,22017
Duckhorn Chardonnay,Wine,22017
Mashed Potatoes,Side,22024
Pork Tenderloin,Meat,22024
Cantina Pinot Bianco,Wine,22024
Mashed Potatoes,Side,22040
Pork Tenderloin,Meat,22040
Cantina Pinot Bianco,Wine,22040
Mashed Potatoes,Side,22050
Duck,Meat,22050
Duckhorn Chardonnay,Wine,22050
Caesar Salad,Side,22060
Pork Tenderloin,Meat,22060
Cantina Pinot Bianco,Wine,22060
Caesar Salad,Side,22070
